oblast,raion,city,district,street_new,street_old,house_raw,house_num,house_slash,house_dash,house_letter,postcode,oblast_code,raion_code,city_code,district_code
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,12,12,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,27,27,,,,,,,,
,,Харків,Шевченківський район,Фронтова вулиця,,3а,3,,,а,61084,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,1,1,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,17,17,,,,,,,,
,,Харків,Шевченківський район,вулиця Шекспіра,,16,16,,,,61000,,,,
,,Харків,Шевченківський район,Отакара Яроша провулок,,12,12,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,216б,216,,,б,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,7,7,,,,,,,,
,,Харків,Шевченківський район,Отакара Яроша провулок,,20,20,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,16/3,16,3,,,,,,,
,,Харків,Шевченківський район,вулиця Шекспіра,,1,1,,,,,,,,
,,Харків,Шевченківський район,вулиця Шекспіра,,4,4,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,50/52,50,52,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,35,35,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,56,56,,,,61000-61499,,,,
,,Харків,Шевченківський район,Космічна вулиця,,4,4,,,,61145,,,,
,,Харків,Шевченківський район,вулиця Олександра Олеся,вулиця Сергія Єсеніна,10,10,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,30б,30,,,б,61000,,,,
,,Харків,Шевченківський район,проспект Перемоги,,70,70,,,,61204,,,,
,,Харків,Шевченківський район,проспект Перемоги,,64В,64,,,В,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,27/23,27,23,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,199б,199,,,б,,,,,
,,Харків,Шевченківський район,Мирна вулиця,,19,19,,,,,,,,
,,Харків,Шевченківський район,Севастопольська вулиця,,11,11,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,111а,111,,,а,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,18,18,,,,,,,,
,,Харків,Шевченківський район,"Космическая, 21 бизнес центр Space Hall офис 702",,61145,61145,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,6а,6,,,а,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,6,6,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,8,8,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,8а,8,,,а,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,10,10,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,14,14,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,16,16,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,25а,25,,,а,,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,8/9,8,9,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,9,9,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,199/1,199,1,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,222а,222,,,а,,,,,
,,Харків,Шевченківський район,Заліська вулиця,,3а,3,,,а,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,101Ж,101,,,Ж,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,115,115,,,,61000,,,,
,,Харків,Шевченківський район,Заліська вулиця,,5,5,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,150а,150,,,а,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,105б,105,,,б,,,,,
,,Харків,Шевченківський район,Заліська вулиця,,1а,1,,,а,,,,,
,,Харків,Шевченківський район,Заліська вулиця,,1,1,,,,,,,,
,,Харків,Шевченківський район,Римарська вулиця,,19,19,,,,61000,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,9/8,9,8,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,12 (п1-п6),12 (п1-п6),,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,55в,55,,,в,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,18,18,,,,61100,,,,
,,Харків,Шевченківський район,Інженерний провулок,,9,9,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,61ж,61,,,ж,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,70Б,70,,,Б,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,70,70,,,,,,,,
,,Харків,Шевченківський район,Лозовеньківський проспект,,6,6,,,,,,,,
,,Харків,Шевченківський район,Sumska,,7,7,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,секция 2,секция 2,,,,61174,,,,
,,Харків,Шевченківський район,проспект Перемоги,,73б,73,,,б,61174,,,,
,,Харків,Шевченківський район,проспект Перемоги,,73а,73,,,а,61174,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,124А,124,,,А,61145,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,19,19,,,,,,,,
,,Харків,Шевченківський район,Піщана вулиця,,11,11,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,101ж,101,,,ж,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,101в,101,,,в,,,,,
,,Харків,Шевченківський район,провулок Кравцова,,19,19,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,75б(57),75б(57),,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,58(54),58(54),,,,,,,,
,,Харків,Шевченківський район,вулиця Ахсарова,,7,7,,,,,,,,
,,Харків,Шевченківський район,Римарська вулиця,,19/5а,19,5а,,,,,,,
,,Харків,Шевченківський район,вулиця Ахсарова,,28(43),28(43),,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,27(56),27(56),,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,38(10),38(10),,,,,,,,
,,Харків,Шевченківський район,Проспект Свободы,,20(59),20(59),,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,42(36),42(36),,,,,,,,
,,Харків,Шевченківський район,Європейська вулиця,Новгородська вулиця,16(38),16(38),,,,,,,,
,,Харків,Шевченківський район,вулиця Шекспіра,,12(49),12(49),,,,,,,,
,,Харків,Шевченківський район,вулиця Олександра Олеся,вулиця Сергія Єсеніна,18(53),18(53),,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,72б(48),72б(48),,,,,,,,
,,Харків,Шевченківський район,Досвідний провулок,,101ж(63),101ж(63),,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,117,117,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,12(50),12(50),,,,,,,,
,,Харків,Шевченківський район,провулок 23 Серпня,,6(62),6(62),,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,18Д,18,,,Д,61000,,,,
,,Харків,Шевченківський район,Отакара Яроша провулок,,18г,18,,,г,61100,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,45/3,45,3,,,61072,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,36,36,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,64б,64,,,б,61204,,,,
,,Харків,Шевченківський район,вулиця Олександра Олеся,вулиця Сергія Єсеніна,2,2,,,,61072,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,20,20,,,,,,,,
,,Харків,Шевченківський район,Бориса Чичибабина вулиця,,9,9,,,,,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,16,16,,,,61000,,,,
,,Харків,Шевченківський район,вулиця Данилевського,,3,3,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,45,45,,,,,,,,
,,Харків,Шевченківський район,вулиця Мирослава Мисли,Цілиноградська вулиця,50,50,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,64,64,,,,,,,,
,,Харків,Шевченківський район,Науки проспект,,32,32,,,,61166,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,48,48,,,,61072,,,,
,,Харків,Шевченківський район,проспект Перемоги,,64г,64,,,г,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,27,27,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,25/46,25,46,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,29,29,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,23,23,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,19,19,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,1,1,,,,,,,,
,,Харків,Шевченківський район,проспект Незалежності,Правди проспект,1,1,,,,61000,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,63,63,,,,,,,,
,,Харків,Шевченківський район,вулиця Культури,,4,4,,,,,,,,
,,Харків,Шевченківський район,проспект Людвіга Свободи,,39,39,,,,61202,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,15,15,,,,,,,,
,,Харків,Шевченківський район,Римарська вулиця,,30,30,,,,,,,,
,,Харків,Шевченківський район,Буковий провулок,,10,10,,,,,,,,
,,Харків,Шевченківський район,майдан Свободи,,8,8,,,,,,,,
,,Харків,Шевченківський район,проспект Незалежності,Правди проспект,10,10,,,,,,,,
,,Харків,Шевченківський район,Павлівський майдан,Рози Люксембург майдан,5/7,5,7,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,3,3,,,,,,,,
,,Харків,Шевченківський район,Дергачівська вулиця,,10,10,,,,,,,,
,,Харків,Шевченківський район,майдан Свободи,,6,6,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,337,337,,,,,,,,
,,Харків,Шевченківський район,вулиця Данилевського,,16,16,,,,,,,,
,,Харків,Шевченківський район,вулиця Дерев'янка,,17-В,17,,В,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,81,81,,,,,,,,
,,Харків,Шевченківський район,проспект Людвіга Свободи,,39,39,,,,,,,,
,,Харків,Шевченківський район,вулиця Культури,,8,8,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,43,43,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,43б,43,,,б,,,,,
,,Харків,Шевченківський район,проспект Незалежності,Правди проспект,17,17,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,41,41,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,53,53,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,51б,51,,,б,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,49,49,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,45,45,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,101д,101,,,д,61022,,,,
,,Харків,Шевченківський район,майдан Свободи,,4,4,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,37/1,37,1,,,,,,,
,,Харків,Шевченківський район,майдан Конституції,,7,7,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,30,30,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,28,28,,,,,,,,
,,Харків,Шевченківський район,вулиця Ахсарова,,16,16,,,,,,,,
,,Харків,Шевченківський район,вулиця Ахсарова,,20,20,,,,,,,,
,,Харків,Шевченківський район,проспект Людвіга Свободи,,20,20,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,61,61,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,79,79,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,77,77,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,67,67,,,,,,,,
,,Харків,Шевченківський район,Домобудівельна вулиця,,5,5,,,,,,,,
,,Харків,Шевченківський район,вулиця Ахсарова,,13б,13,,,б,61204,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,34,34,,,,61204,,,,
,,Харків,Шевченківський район,проспект Перемоги,,75а,75,,,а,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,50а,50,,,а,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,66и,66,,,и,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,42а,42,,,а,,,,,
,,Харків,Шевченківський район,Архітекторів вулиця,,26,26,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,78,78,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,71,71,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,76,76,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,48а,48,,,а,,,,,
,,Харків,Шевченківський район,вулиця Ахсарова,,17,17,,,,,,,,
